modelo,mae,rmse,r2
Ridge,10.201223743499032,13.171438394220784,0.6417338534722218
Random Forest,13.151019449690262,15.596559329476861,0.49766091993918327
Media,18.414109785077528,22.182062763608023,-0.016115841671394016
